type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,309.0000046044588,0.0,0.0,0,0,0
edge,103.31520122131018,-3.939127369252569e-14,2.8421709430404007e-13,0.0,0.0,20.568480338314863 
edge,104.14570291783201,-66.56119747602295,0.0,0.3141592653589793,18.0,21.539655969619766 
edge,122.65720590058808,-135.38596804590432,0.0,0.6283185307179586,36.0,23.03323663155439 
edge,166.18346544416536,-196.57010244449128,0.0,0.9424777960769379,54.0,24.29740089654888 
edge,231.25522790723284,-239.27381934241876,0.0,1.2566370614359172,72.0,25.158738228776492 
edge,309.00000460445887,-254.92647896021592,0.0,1.5707963267948966,90.0,25.49264789602159 
edge,387.0259024136702,-240.13902116072842,0.0,1.8849555921538759,108.0,25.249710931605982 
edge,452.8071842758262,-197.93360213361981,0.0,2.199114857512855,126.0,24.465938726855146 
edge,497.13961573205347,-136.69142868658827,0.0,2.5132741228718345,144.0,23.255334861408294 
edge,516.1949256985026,-67.32171082287772,0.0,2.827433388230814,162.0,21.785763258441555 
edge,517.0952012214523,-3.939127369252569e-14,2.8421709430404007e-13,3.141592653589793,180.0,20.80951966169934 
edge,516.1949256985026,67.32171082287772,0.0,3.4557519189487724,198.0,21.785763258441555 
edge,497.13961573205347,136.69142868658827,0.0,3.7699111843077517,216.0,23.255334861408294 
edge,452.8071842758262,197.93360213361981,0.0,4.084070449666731,234.0,24.465938726855146 
edge,387.0259024136702,240.13902116072842,0.0,4.39822971502571,252.0,25.249710931605982 
edge,309.00000460445887,254.92647896021592,0.0,4.71238898038469,270.0,25.49264789602159 
edge,231.25522790723284,239.27381934241876,0.0,5.026548245743669,288.0,25.158738228776492 
edge,166.18346544416536,196.57010244449128,0.0,5.340707511102648,306.0,24.29740089654888 
edge,122.65720590058808,135.38596804590432,0.0,5.654866776461628,324.0,23.03323663155439 
edge,104.145702917832,66.56119747602295,0.0,5.969026041820607,342.0,21.539655969619766 
