type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,742.5403062038752,-2.492439055854941e-13,-5.684341886080801e-13,0,0,0
edge,489.0681804679178,0.0,-5.684341886080801e-13,0.0,0.0,25.347212573595733 
edge,493.65839290566635,-80.86663566671871,-5.684341886080801e-13,0.3141592653589793,18.0,26.168993012921014 
edge,509.448384329699,-169.35119417609218,-5.684341886080801e-13,0.6283185307179586,36.0,28.81174604425518 
edge,558.3451733582287,-253.52285068753363,-5.684341886080801e-13,0.9424777960769379,54.0,31.337147729932063 
edge,647.2093449480244,-293.39853004022416,-5.684341886080801e-13,1.2566370614359172,72.0,30.849747098433188 
edge,742.5403062038749,-294.15000000000026,-5.684341886080801e-13,1.5707963267948966,90.0,29.415 
edge,838.1154348507844,-294.15000000000026,-5.684341886080801e-13,1.8849555921538759,108.0,30.928761325968622 
edge,953.977673348212,-291.0185694494917,-5.684341886080801e-13,2.199114857512855,126.0,35.97187345543147 
edge,1053.0203983602128,-225.5769910506032,-5.684341886080801e-13,2.5132741228718345,144.0,38.377449956563254 
edge,1082.330898931119,-110.40465617173558,-5.684341886080801e-13,2.827433388230814,162.0,35.727697240422714 
edge,1082.330898931119,-2.9085625176187425e-13,-5.684341886080801e-13,3.141592653589793,180.0,33.9790592727244 
edge,1082.330898931119,110.40465617173508,-5.684341886080801e-13,3.4557519189487724,198.0,35.727697240422714 
edge,1053.0203983602128,225.5769910506027,-5.684341886080801e-13,3.7699111843077517,216.0,38.377449956563254 
edge,953.977673348212,291.01856944949117,-5.684341886080801e-13,4.084070449666731,234.0,35.97187345543147 
edge,838.1154348507844,294.14999999999975,-5.684341886080801e-13,4.39822971502571,252.0,30.928761325968622 
edge,742.5403062038749,294.14999999999975,-5.684341886080801e-13,4.71238898038469,270.0,29.415 
edge,647.2093449480244,293.39853004022365,-5.684341886080801e-13,5.026548245743669,288.0,30.849747098433188 
edge,558.3451733582287,253.52285068753315,-5.684341886080801e-13,5.340707511102648,306.0,31.337147729932063 
edge,509.448384329699,169.3511941760917,-5.684341886080801e-13,5.654866776461628,324.0,28.81174604425518 
edge,493.65839290566635,80.8666356667182,-5.684341886080801e-13,5.969026041820607,342.0,26.168993012921014 
