type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,0.0,0.0,0.0,0,0,0
edge,202.00000000000006,-3.207138324520847e-12,0.0,0.0,0.0,20.200000000000006
edge,192.11341629162024,-62.42143286374186,0.0,0.3141592653589793,18.0,20.200000000000003
edge,163.42143286373786,-118.73262096308164,0.0,0.6283185307179586,36.0,20.2
edge,118.73262096307752,-163.4214328637409,0.0,0.9424777960769379,54.0,20.200000000000003
edge,62.42143286373693,-192.11341629162183,0.0,1.2566370614359172,72.0,20.200000000000003
edge,-2.6290081223123707e-12,-202.00000000000003,0.0,1.5707963267948966,90.0,20.200000000000003
edge,-62.42143286374187,-192.11341629162024,0.0,1.8849555921538759,108.0,20.200000000000003
edge,-118.73262096308164,-163.42143286373786,0.0,2.199114857512855,126.0,20.2
edge,-163.42143286374093,-118.73262096307752,0.0,2.5132741228718345,144.0,20.200000000000006
edge,-192.1134162916219,-62.42143286373695,0.0,2.827433388230814,162.0,20.200000000000006
edge,-202.0,-2.473786534278e-14,0.0,3.141592653589793,180.0,20.2
edge,-192.11341629162183,62.42143286373695,0.0,3.4557519189487724,198.0,20.200000000000003
edge,-163.4214328637409,118.73262096307752,0.0,3.7699111843077517,216.0,20.200000000000003
edge,-118.73262096308164,163.42143286373786,0.0,4.084070449666731,234.0,20.2
edge,-62.42143286374186,192.11341629162024,0.0,4.39822971502571,252.0,20.200000000000003
edge,-2.6362207764086986e-12,202.00000000000003,0.0,4.71238898038469,270.0,20.200000000000003
edge,62.421432863736925,192.11341629162183,0.0,5.026548245743669,288.0,20.200000000000003
edge,118.73262096307752,163.4214328637409,0.0,5.340707511102648,306.0,20.200000000000003
edge,163.42143286373786,118.73262096308164,0.0,5.654866776461628,324.0,20.2
edge,192.11341629162024,62.42143286374186,0.0,5.969026041820607,342.0,20.200000000000003
