type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,970.4598887706652,-6.263206752431757e-14,-2.8421709430404007e-13,0,0,0
edge,817.499888770904,0.0,0.0,0.0,0.0,15.295999999976118 
edge,817.499888770904,-49.69971673570785,0.0,0.3141592653589793,18.0,16.083166181923424 
edge,817.499888770904,-111.13194508352652,0.0,0.6283185307179586,36.0,18.90689578380726 
edge,829.8423004204806,-193.5435063054519,0.0,0.9424777960769379,54.0,23.923293039719777 
edge,885.7525917019292,-260.70225366706234,0.0,1.2566370614359172,72.0,27.411857150469828 
edge,970.4598887706652,-286.30999999999653,0.0,1.5707963267948966,90.0,28.630999999999645 
edge,1055.1671858394095,-260.70225366708814,0.0,1.8849555921538759,108.0,27.41185715047253 
edge,1111.0774771209021,-193.5435063055243,0.0,2.199114857512855,126.0,23.923293039728698 
edge,1123.4198887704895,-111.13194508357239,0.0,2.5132741228718345,144.0,18.906895783815063 
edge,1123.4198887704897,-49.69971673572837,0.0,2.827433388230814,162.0,16.083166181930075 
edge,1123.4198887704897,8.422206051679061e-15,2.1827872842550278e-10,3.141592653589793,180.0,15.295999999982456 
edge,1123.4198887704897,49.69971673572825,0.0,3.4557519189487724,198.0,16.083166181930075 
edge,1123.4198887704895,111.13194508357225,0.0,3.7699111843077517,216.0,18.906895783815063 
edge,1111.0774771209021,193.54350630552415,0.0,4.084070449666731,234.0,23.923293039728698 
edge,1055.1671858394095,260.702253667088,0.0,4.39822971502571,252.0,27.41185715047253 
edge,970.4598887706652,286.30999999999636,0.0,4.71238898038469,270.0,28.630999999999645 
edge,885.7525917019292,260.7022536670622,0.0,5.026548245743669,288.0,27.411857150469828 
edge,829.8423004204806,193.54350630545179,0.0,5.340707511102648,306.0,23.923293039719777 
edge,817.499888770904,111.13194508352638,0.0,5.654866776461628,324.0,18.90689578380726 
edge,817.499888770904,49.699716735707725,0.0,5.969026041820607,342.0,16.083166181923424 
