type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,837.1819312202275,-5.0546026355196354e-14,0.0,0,0,0
edge,676.3819312202222,0.0,0.0,0.0,0.0,16.08000000000054 
edge,676.3819312202222,-52.24708715425315,0.0,0.3141592653589793,18.0,16.907512565751905 
edge,676.3922266300865,-116.82055845015618,0.0,0.6283185307179586,36.0,19.874700495552418 
edge,695.6056976603268,-194.8629682402515,0.0,0.9424777960769379,54.0,24.086387504233347 
edge,753.936108545972,-256.20429798316707,0.0,1.2566370614359172,72.0,26.938914101678456 
edge,837.1819312202276,-279.44000000002393,0.0,1.5707963267948966,90.0,27.94400000000239 
edge,920.4277538944247,-256.2042979829869,0.0,1.8849555921538759,108.0,26.938914101659513 
edge,978.7581647798323,-194.86296823984435,0.0,2.199114857512855,126.0,24.08638750418301 
edge,997.9716358104888,-116.82055845024365,0.0,2.5132741228718345,144.0,19.87470049556729 
edge,997.9819312200846,-52.24708715420497,0.0,2.827433388230814,162.0,16.907512565736305 
edge,997.9819312200846,-7.023834688546829e-14,0.0,3.141592653589793,180.0,16.079999999985702 
edge,997.9819312200846,52.24708715420486,0.0,3.4557519189487724,198.0,16.907512565736305 
edge,997.9716358104888,116.82055845024354,0.0,3.7699111843077517,216.0,19.87470049556729 
edge,978.7581647798323,194.8629682398443,0.0,4.084070449666731,234.0,24.08638750418301 
edge,920.4277538944247,256.2042979829868,0.0,4.39822971502571,252.0,26.938914101659513 
edge,837.1819312202276,279.4400000000239,0.0,4.71238898038469,270.0,27.94400000000239 
edge,753.936108545972,256.204297983167,0.0,5.026548245743669,288.0,26.938914101678456 
edge,695.6056976603268,194.86296824025143,0.0,5.340707511102648,306.0,24.086387504233347 
edge,676.3922266300865,116.82055845015608,0.0,5.654866776461628,324.0,19.874700495552418 
edge,676.3819312202222,52.247087154253045,0.0,5.969026041820607,342.0,16.907512565751905 
