type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,425.3154156644405,-4.4568735076632776e-14,0.0,0,0,0
edge,230.19541566463343,-4.4568735076632776e-14,0.0,0.0,0.0,19.511999999980706 
edge,230.19541566463352,-63.398331128902036,0.0,0.3141592653589793,18.0,20.516130919316772 
edge,241.34921943767236,-133.65926527412645,0.0,0.6283185307179586,36.0,22.739472409835074 
edge,280.4653685500909,-199.3689860275885,0.0,0.9424777960769379,54.0,24.643361933530514 
edge,345.20461648996724,-246.5556877692289,0.0,1.2566370614359172,72.0,25.924399186042915 
edge,425.3154156644405,-263.760000000014,0.0,1.5707963267948966,90.0,26.376000000001394 
edge,505.4262148389638,-246.5556877693836,0.0,1.8849555921538759,108.0,25.924399186059176 
edge,570.1654627787645,-199.36898602755352,0.0,2.199114857512855,126.0,24.64336193352618 
edge,609.2816118915595,-133.6592652743815,0.0,2.5132741228718345,144.0,22.739472409878456 
edge,620.4354156642473,-63.398331128901965,0.0,2.827433388230814,162.0,20.516130919316762 
edge,620.4354156642473,4.069639321457723e-14,-1.4210854715202004e-13,3.141592653589793,180.0,19.51199999998068 
edge,620.4354156642473,63.39833112890187,0.0,3.4557519189487724,198.0,20.516130919316762 
edge,609.2816118915595,133.65926527438143,0.0,3.7699111843077517,216.0,22.739472409878456 
edge,570.1654627787645,199.36898602755346,0.0,4.084070449666731,234.0,24.64336193352618 
edge,505.4262148389638,246.55568776938352,0.0,4.39822971502571,252.0,25.924399186059176 
edge,425.3154156644405,263.7600000000139,0.0,4.71238898038469,270.0,26.376000000001394 
edge,345.20461648996724,246.55568776922883,0.0,5.026548245743669,288.0,25.924399186042915 
edge,280.4653685500909,199.36898602758845,0.0,5.340707511102648,306.0,24.643361933530514 
edge,241.34921943767236,133.65926527412634,0.0,5.654866776461628,324.0,22.739472409835074 
edge,230.19541566463352,63.398331128901944,0.0,5.969026041820607,342.0,20.516130919316772 
