type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,1117.1161360356903,-7.396004304065916e-14,0.0,0,0,0
edge,963.1761360354433,-7.396004304065917e-14,-1.4210854715202004e-13,0.0,0.0,15.39400000002469 
edge,963.1761360354432,-50.0181380381738,-1.4210854715202004e-13,0.3141592653589793,18.0,16.186209479949856 
edge,963.1761360354435,-111.84395676132473,-1.4210854715202004e-13,0.6283185307179586,36.0,19.02803044566227 
edge,974.5244871649365,-196.26056751587956,-1.4210854715202004e-13,0.9424777960769379,54.0,24.2591402752314 
edge,1030.786971198441,-265.69384939769066,-1.4210854715202004e-13,1.2566370614359172,72.0,27.936704585412294 
edge,1117.1161360356903,-292.18999999997186,-1.4210854715202004e-13,1.5707963267948966,90.0,29.21899999999718 
edge,1203.4453008728965,-265.69384939755867,-1.4210854715202004e-13,1.8849555921538759,108.0,27.936704585398413 
edge,1259.7077849065165,-196.26056751597912,-1.4210854715202004e-13,2.199114857512855,126.0,24.25914027524372 
edge,1271.0561360360073,-111.84395676137582,-1.4210854715202004e-13,2.5132741228718345,144.0,19.028030445670964 
edge,1271.0561360360075,-50.01813803819673,-1.4210854715202004e-13,2.827433388230814,162.0,16.186209479957242 
edge,1271.0561360360075,-1.7763568394002505e-14,-3.26841193078647e-10,3.141592653589793,180.0,15.394000000031724 
edge,1271.0561360360075,50.01813803819659,-1.4210854715202004e-13,3.4557519189487724,198.0,16.186209479957242 
edge,1271.0561360360073,111.84395676137568,-1.4210854715202004e-13,3.7699111843077517,216.0,19.028030445670964 
edge,1259.7077849065165,196.26056751597898,-1.4210854715202004e-13,4.084070449666731,234.0,24.25914027524372 
edge,1203.4453008728965,265.69384939755855,-1.4210854715202004e-13,4.39822971502571,252.0,27.936704585398413 
edge,1117.1161360356903,292.18999999997175,-1.4210854715202004e-13,4.71238898038469,270.0,29.21899999999718 
edge,1030.786971198441,265.69384939769054,-1.4210854715202004e-13,5.026548245743669,288.0,27.936704585412294 
edge,974.5244871649365,196.26056751587942,-1.4210854715202004e-13,5.340707511102648,306.0,24.2591402752314 
edge,963.1761360354435,111.84395676132459,-1.4210854715202004e-13,5.654866776461628,324.0,19.02803044566227 
edge,963.1761360354432,50.01813803817366,-1.4210854715202004e-13,5.969026041820607,342.0,16.186209479949856 
