type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,1044.0289738248873,-6.835384200557628e-14,-1.4210854715202004e-13,0,0,0
edge,893.0339738248117,-2.5721277859966272e-14,-2.8421709430404007e-13,0.0,0.0,15.099500000007566 
edge,893.0339738248115,-49.06124953271242,0.0,0.3141592653589793,18.0,15.876553854893688 
edge,893.0339738248114,-109.7042890162247,0.0,0.6283185307179586,36.0,18.66400842626746 
edge,903.2341575486366,-193.78743961869202,0.0,0.9424777960769379,54.0,23.95344485543392 
edge,958.3874611867643,-263.5774735451381,0.0,1.2566370614359172,72.0,27.714175659287385 
edge,1044.0289738248873,-290.2250000000211,0.0,1.5707963267948966,90.0,29.022500000002104 
edge,1129.670486463141,-263.57747354554044,0.0,1.8849555921538759,108.0,27.714175659329687 
edge,1184.8237901016444,-193.78743961938906,0.0,2.199114857512855,126.0,23.953444855520072 
edge,1195.023973824963,-109.70428901622462,0.0,2.5132741228718345,144.0,18.664008426267433 
edge,1195.023973824963,-49.06124953271234,0.0,2.827433388230814,162.0,15.87655385489367 
edge,1195.023973824963,-8.385869952716964e-14,0.0,3.141592653589793,180.0,15.099500000007566 
edge,1195.023973824963,49.061249532712196,0.0,3.4557519189487724,198.0,15.87655385489367 
edge,1195.023973824963,109.70428901622448,0.0,3.7699111843077517,216.0,18.664008426267433 
edge,1184.8237901016444,193.78743961938892,0.0,4.084070449666731,234.0,23.953444855520072 
edge,1129.670486463141,263.5774735455403,0.0,4.39822971502571,252.0,27.714175659329687 
edge,1044.0289738248873,290.22500000002094,0.0,4.71238898038469,270.0,29.022500000002104 
edge,958.3874611867643,263.57747354513793,0.0,5.026548245743669,288.0,27.714175659287385 
edge,903.2341575486366,193.78743961869188,0.0,5.340707511102648,306.0,23.95344485543392 
edge,893.0339738248114,109.70428901622456,0.0,5.654866776461628,324.0,18.66400842626746 
edge,893.0339738248115,49.061249532712274,0.0,5.969026041820607,342.0,15.876553854893688 
