type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,315.7105904914274,-2.6145854773212214e-13,0.0,0,0,0
edge,28.98434495541437,0.0,0.0,0.0,0.0,28.672624553601306 
edge,34.94374466333625,-91.22667825873492,0.0,0.3141592653589793,18.0,29.521573220676743 
edge,55.42195153358914,-189.11076575950273,0.0,0.6283185307179586,36.0,32.173445152278816 
edge,120.17235766011068,-269.1352884299074,0.0,0.9424777960769379,54.0,33.26695116433779 
edge,220.13546184451795,-294.1500000000003,0.0,1.2566370614359172,72.0,30.92876132596864 
edge,315.7105904914274,-294.15000000000026,0.0,1.5707963267948966,90.0,29.415 
edge,411.28571913833684,-294.1500000000003,0.0,1.8849555921538759,108.0,30.928761325968637 
edge,525.7312838220687,-289.0686852251157,0.0,2.199114857512855,126.0,35.73085451047318 
edge,620.0151468920898,-221.09020169088745,0.0,2.5132741228718345,144.0,37.61411175741374 
edge,646.4922956461396,-107.4774911582722,0.0,2.827433388230814,162.0,34.780446743930035 
edge,646.4922956461396,-2.4868995751603507e-13,-5.654804156292951e-13,3.141592653589793,180.0,33.078170515471214 
edge,646.4922956461396,107.47749115827168,0.0,3.4557519189487724,198.0,34.780446743930035 
edge,620.0151468920898,221.09020169088694,0.0,3.7699111843077517,216.0,37.61411175741374 
edge,525.7312838220687,289.06868522511525,0.0,4.084070449666731,234.0,35.73085451047318 
edge,411.28571913833684,294.14999999999986,0.0,4.39822971502571,252.0,30.928761325968637 
edge,315.7105904914274,294.14999999999975,0.0,4.71238898038469,270.0,29.415 
edge,220.13546184451795,294.1499999999998,0.0,5.026548245743669,288.0,30.92876132596864 
edge,120.17235766011066,269.1352884299069,0.0,5.340707511102648,306.0,33.26695116433779 
edge,55.421951533589144,189.11076575950221,0.0,5.654866776461628,324.0,32.173445152278816 
edge,34.94374466333625,91.22667825873438,0.0,5.969026041820607,342.0,29.521573220676743 
