type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,-2.677499123630792e-13,17.208712164982465,0.0,0,0,0
edge,-1.1522373985631883e-12,336.0550000008792,0.0,0.0,0.0,31.884628783589676 
edge,-106.49030184170002,327.7434488470203,0.0,0.3141592653589793,18.0,32.82864710470398 
edge,-215.19349832911104,296.18844050313027,0.0,0.6283185307179586,36.0,35.233213101666976 
edge,-285.7527719152305,207.61154129182955,0.0,0.9424777960769379,54.0,34.337717454243354 
edge,-294.15000000000026,95.57512864690847,0.0,1.2566370614359172,72.0,30.441011437240167 
edge,-294.15000000000026,-9.769962616701378e-13,0.0,1.5707963267948966,90.0,29.465295225803736 
edge,-294.15000000000026,-95.57512864691049,0.0,1.8849555921538759,108.0,31.503081952133254 
edge,-281.178448593049,-204.2881008614205,0.0,2.199114857512855,126.0,35.79415568693401 
edge,-206.89309065110996,-284.76390944259316,0.0,2.5132741228718345,144.0,36.604947091850896 
edge,-98.51402729903685,-303.19499999908237,0.0,2.827433388230814,162.0,33.5206730754602 
edge,-2.8651009876262127e-13,-303.19499999911665,0.0,3.141592653589793,180.0,32.04037121640991 
edge,98.51402729904818,-303.19499999911096,0.0,3.4557519189487724,198.0,33.520673075463286 
edge,206.8930906511141,-284.7639094425954,0.0,3.7699111843077517,216.0,36.60494709185134 
edge,281.1784485930528,-204.2881008614208,0.0,4.084070449666731,234.0,35.794155686934374 
edge,294.15000000000015,-95.57512864690847,0.0,4.39822971502571,252.0,31.503081952133222 
edge,294.1499999999997,8.348877145181177e-13,0.0,4.71238898038469,270.0,29.465295225803725 
edge,294.15000000000015,95.57512864691034,0.0,5.026548245743669,288.0,30.44101143724026 
edge,285.7527719152335,207.61154129183436,0.0,5.340707511102648,306.0,34.33771745424392 
edge,215.19349832911195,296.1884405031352,0.0,5.654866776461628,324.0,35.23321310166746 
edge,106.49030184169791,327.7434488470204,0.0,5.969026041820607,342.0,32.82864710470394 
