type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,1199.014148165794,-2.2575065391612732e-13,-5.684341886080801e-13,0,0,0
edge,959.3152725077464,0.0,0.0,0.0,0.0,23.96988756580477 
edge,963.392931107828,-76.55797427250226,0.0,0.3141592653589793,18.0,24.77468089654966 
edge,977.5314032215692,-160.91663342134396,0.0,0.6283185307179586,36.0,27.37677285943098 
edge,1020.3077900995282,-245.96820031565625,0.0,0.9424777960769379,54.0,30.40334158934361 
edge,1104.2319443802,-291.70962820811314,0.0,1.2566370614359172,72.0,30.672165450742032 
edge,1199.0141481657938,-294.1500000000002,0.0,1.5707963267948966,90.0,29.415 
edge,1294.5892768127032,-294.1500000000002,0.0,1.8849555921538759,108.0,30.928761325968622 
edge,1407.5963672529087,-287.0887952832634,0.0,2.199114857512855,126.0,35.48612665486338 
edge,1497.4419932867422,-216.8205210213663,0.0,2.5132741228718345,144.0,36.8877102948271 
edge,1521.1806817176712,-104.67825221808467,0.0,2.827433388230814,162.0,33.8745939943589 
edge,1521.1806817176712,-2.1316282072803006e-13,-1.1491066187182973e-12,3.141592653589793,180.0,32.2166533551877 
edge,1521.1806817176712,104.6782522180842,0.0,3.4557519189487724,198.0,33.8745939943589 
edge,1497.4419932867422,216.8205210213659,0.0,3.7699111843077517,216.0,36.8877102948271 
edge,1407.5963672529087,287.0887952832629,0.0,4.084070449666731,234.0,35.48612665486338 
edge,1294.5892768127032,294.14999999999975,0.0,4.39822971502571,252.0,30.928761325968622 
edge,1199.0141481657938,294.14999999999975,0.0,4.71238898038469,270.0,29.415 
edge,1104.2319443802,291.7096282081127,0.0,5.026548245743669,288.0,30.672165450742032 
edge,1020.3077900995282,245.96820031565582,0.0,5.340707511102648,306.0,30.40334158934361 
edge,977.5314032215692,160.91663342134353,0.0,5.654866776461628,324.0,27.37677285943098 
edge,963.392931107828,76.55797427250181,0.0,5.969026041820607,342.0,24.77468089654966 
