type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,1253.603207408316,-2.0432228447225556e-13,0.0,0,0,0
edge,1013.4137046764073,0.0,0.0,0.0,0.0,24.018950273190853 
edge,1017.4954846767587,-76.71604954818096,0.0,0.3141592653589793,18.0,24.825835130315518 
edge,1031.687684361195,-161.23106511828718,0.0,0.6283185307179586,36.0,27.43026717486627 
edge,1074.6761152754532,-246.27201469415186,0.0,0.9424777960769379,54.0,30.44089511177987 
edge,1158.788700713085,-291.8090463413048,0.0,1.2566370614359172,72.0,30.682618891887575 
edge,1253.603207408316,-294.1500000000002,0.0,1.5707963267948966,90.0,29.415 
edge,1349.1783360552254,-294.1500000000002,0.0,1.8849555921538759,108.0,30.928761325968633 
edge,1453.3022375497594,-274.8621346223106,0.0,2.199114857512855,126.0,33.97482828338743 
edge,1524.5267694516676,-196.83748966319405,0.0,2.5132741228718345,144.0,33.48799393919645 
edge,1537.951346975502,-92.39031113256212,0.0,2.827433388230814,162.0,29.89813272873267 
edge,1537.951346975502,-2.3914488836870153e-13,0.0,3.141592653589793,180.0,28.434813956718614 
edge,1537.951346975502,92.39031113256169,0.0,3.4557519189487724,198.0,29.89813272873267 
edge,1524.5267694516676,196.83748966319365,0.0,3.7699111843077517,216.0,33.48799393919645 
edge,1453.3022375497594,274.8621346223101,0.0,4.084070449666731,234.0,33.97482828338743 
edge,1349.1783360552254,294.14999999999975,0.0,4.39822971502571,252.0,30.928761325968633 
edge,1253.603207408316,294.14999999999975,0.0,4.71238898038469,270.0,29.415 
edge,1158.788700713085,291.8090463413044,0.0,5.026548245743669,288.0,30.682618891887575 
edge,1074.6761152754532,246.27201469415144,0.0,5.340707511102648,306.0,30.44089511177987 
edge,1031.687684361195,161.23106511828672,0.0,5.654866776461628,324.0,27.43026717486627 
edge,1017.4954846767587,76.71604954818056,0.0,5.969026041820607,342.0,24.825835130315518 
