type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,18.756121824731565,0.0,0.0,0,0,0
edge,-194.49387817525616,-8.786883295298095e-15,0.0,0.0,0.0,21.32499999999877
edge,-185.76898979229895,-60.36000373280768,0.0,0.3141592653589793,18.0,21.324598784639146
edge,-160.0161565310746,-116.25854288778851,0.0,0.6283185307179586,36.0,21.325003236322754
edge,-118.54694924933543,-163.16587767379906,0.0,0.9424777960769379,54.0,21.32492367241474
edge,-63.72042922063481,-196.65497233764782,0.0,1.2566370614359172,72.0,21.32499932414066
edge,2.942091015256665e-14,-212.4227444020477,0.0,1.5707963267948966,90.0,21.324918392622717
edge,67.45788651424478,-207.61402677739153,0.0,1.8849555921538759,108.0,21.32497268429579
edge,131.50741039136915,-181.00442207153486,0.0,2.199114857512855,126.0,21.324974532900974
edge,184.56739896058676,-134.09606462824655,0.0,2.5132741228718345,144.0,21.32489957167589
edge,219.70102723889366,-71.38519103245505,0.0,2.827433388230814,162.0,21.32479789133924
edge,232.00612182473571,-8.786883295301077e-15,0.0,3.141592653589793,180.0,21.325000000000415
edge,219.70102723889366,71.38519103245504,0.0,3.4557519189487724,198.0,21.32479789133924
edge,184.56739896058676,134.09606462824655,0.0,3.7699111843077517,216.0,21.32489957167589
edge,131.50741039136915,181.00442207153486,0.0,4.084070449666731,234.0,21.324974532900974
edge,67.45788651424479,207.61402677739153,0.0,4.39822971502571,252.0,21.32497268429579
edge,4.773959005888173e-14,212.4227444020477,0.0,4.71238898038469,270.0,21.324918392622717
edge,-63.72042922063479,196.65497233764782,0.0,5.026548245743669,288.0,21.32499932414066
edge,-118.54694924933541,163.16587767379906,0.0,5.340707511102648,306.0,21.324923672414737
edge,-160.01615653107456,116.25854288778851,0.0,5.654866776461628,324.0,21.32500323632275
edge,-185.76898979229895,60.3600037328077,0.0,5.969026041820607,342.0,21.324598784639146
