type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,60.0,0.0,0.0,0,0,0
edge,-161.00000239908695,0.0,0.0,0.0,0.0,22.100000239908695 
edge,-150.19568204223913,-68.29671715898051,0.0,0.3141592653589793,18.0,22.101281936551977 
edge,-118.87580207127593,-129.96087743591337,0.0,0.6283185307179586,36.0,22.110265088993117 
edge,-70.04060953244819,-178.98554388751302,0.0,0.9424777960769379,54.0,22.123829923473807 
edge,-8.419076360079279,-210.57226494227444,0.0,1.2566370614359172,72.0,22.140878205908134 
edge,60.00000000000004,-221.5991472787408,0.0,1.5707963267948966,90.0,22.159914727874078 
edge,128.53628919355165,-210.93300894985376,0.0,1.8849555921538759,108.0,22.178809075570587 
edge,190.46476386231205,-179.56934223943284,0.0,2.199114857512855,126.0,22.195991368251928 
edge,239.67749468908752,-130.54697103778037,0.0,2.5132741228718345,144.0,22.20957310370601 
edge,271.30610697408423,-68.65751609017751,0.0,2.827433388230814,162.0,22.218038923409985 
edge,282.2137922020923,-1.3631427428072596e-11,7.457146011802254e-11,3.141592653589793,180.0,22.22137922020923 
edge,271.30610697408423,68.65751609017751,0.0,3.4557519189487724,198.0,22.218038923409985 
edge,239.67749468908752,130.54697103778037,0.0,3.7699111843077517,216.0,22.20957310370601 
edge,190.46476386231205,179.56934223943284,0.0,4.084070449666731,234.0,22.195991368251928 
edge,128.53628919355168,210.93300894985376,0.0,4.39822971502571,252.0,22.178809075570587 
edge,60.00000000000006,221.5991472787408,0.0,4.71238898038469,270.0,22.159914727874078 
edge,-8.419076360079272,210.57226494227444,0.0,5.026548245743669,288.0,22.140878205908134 
edge,-70.04060953244819,178.98554388751302,0.0,5.340707511102648,306.0,22.123829923473807 
edge,-118.87580207127591,129.96087743591337,0.0,5.654866776461628,324.0,22.110265088993117 
edge,-150.19568204223913,68.29671715898051,0.0,5.969026041820607,342.0,22.101281936551977 
