type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,694.9869052939607,-4.9998513996672627e-14,2.2737367544323206e-12,0,0,0
edge,524.3769052942292,0.0,-2.7785321721227085e-13,0.0,0.0,17.06099999997315 
edge,524.3769052942292,-55.434549374208984,2.2737367544323206e-12,0.3141592653589793,18.0,17.938997007700845 
edge,525.4646163896213,-123.16515233381394,2.2737367544323206e-12,0.6283185307179586,36.0,20.954107278712186 
edge,551.9320156517352,-196.89816373855825,2.2737367544323206e-12,0.9424777960769379,54.0,24.337951502574203 
edge,612.6639880128537,-253.36388724830354,2.2737367544323206e-12,1.2566370614359172,72.0,26.64025564277547 
edge,694.986905293961,-274.53999999999303,2.2737367544323206e-12,1.5707963267948966,90.0,27.4539999999993 
edge,777.3098225750707,-253.36388724831158,2.2737367544323206e-12,1.8849555921538759,108.0,26.640255642776328 
edge,838.041794936081,-196.89816373841336,2.2737367544323206e-12,2.199114857512855,126.0,24.337951502556297 
edge,864.5091941982564,-123.16515233378205,2.2737367544323206e-12,2.5132741228718345,144.0,20.954107278706772 
edge,865.5969052936923,-55.43454937420891,2.2737367544323206e-12,2.827433388230814,162.0,17.938997007700856 
edge,865.5969052936922,-7.327568618810788e-14,2.2737367544323206e-12,3.141592653589793,180.0,17.06099999997315 
edge,865.5969052936923,55.434549374208814,2.2737367544323206e-12,3.4557519189487724,198.0,17.938997007700856 
edge,864.5091941982564,123.16515233378195,2.2737367544323206e-12,3.7699111843077517,216.0,20.954107278706772 
edge,838.041794936081,196.89816373841327,2.2737367544323206e-12,4.084070449666731,234.0,24.337951502556297 
edge,777.3098225750707,253.36388724831153,2.2737367544323206e-12,4.39822971502571,252.0,26.640255642776328 
edge,694.986905293961,274.539999999993,2.2737367544323206e-12,4.71238898038469,270.0,27.4539999999993 
edge,612.6639880128537,253.36388724830346,2.2737367544323206e-12,5.026548245743669,288.0,26.64025564277547 
edge,551.9320156517352,196.8981637385582,2.2737367544323206e-12,5.340707511102648,306.0,24.337951502574203 
edge,525.4646163896213,123.16515233381382,2.2737367544323206e-12,5.654866776461628,324.0,20.954107278712186 
edge,524.3769052942292,55.434549374208885,2.2737367544323206e-12,5.969026041820607,342.0,17.938997007700845 
