type,local_X,local_Y,local_Z,phi_rad,phi_deg,radial_distance
center,1116.9328305664026,-9.438344761106962e-14,0.0,0,0,0
edge,948.2878305660861,-2.0758784817172046e-14,0.0,0.0,0.0,16.864500000031654 
edge,948.2878305660863,-54.796082171301315,0.0,0.3141592653589793,18.0,17.732384680699525 
edge,948.2878305660863,-122.52776463569377,0.0,0.6283185307179586,36.0,20.8456684065843 
edge,965.4178381996367,-208.5424961739448,0.0,0.9424777960769379,54.0,25.77727014684854 
edge,1027.9615687687437,-273.82538771636445,0.0,1.2566370614359172,72.0,28.791705122115438 
edge,1116.9328305664026,-294.1450000000001,0.0,1.5707963267948966,90.0,29.4145 
edge,1205.90643730186,-273.83260469282305,0.0,1.8849555921538759,108.0,28.79246395992737 
edge,1268.449495174916,-208.5447978172528,0.0,2.199114857512855,126.0,25.777554645607392 
edge,1285.5778305666001,-122.52776463560753,0.0,2.5132741228718345,144.0,20.845668406569605 
edge,1285.5778305666001,-54.79608217126283,0.0,2.827433388230814,162.0,17.732384680687023 
edge,1285.5778305666001,-1.8849543767355058e-13,0.0,3.141592653589793,180.0,16.864500000019746 
edge,1285.5778305666001,54.79608217126249,0.0,3.4557519189487724,198.0,17.73238468068702 
edge,1285.5778305666001,122.52776463560721,0.0,3.7699111843077517,216.0,20.845668406569597 
edge,1268.4494951749161,208.54479781725246,0.0,4.084070449666731,234.0,25.777554645607385 
edge,1205.9064373018603,273.83260469282277,0.0,4.39822971502571,252.0,28.792463959927375 
edge,1116.932830566403,294.14499999999987,0.0,4.71238898038469,270.0,29.4145 
edge,1027.961568768744,273.8253877163643,0.0,5.026548245743669,288.0,28.791705122115435 
edge,965.4178381996369,208.54249617394473,0.0,5.340707511102648,306.0,25.777270146848544 
edge,948.2878305660864,122.52776463569374,0.0,5.654866776461628,324.0,20.84566840658429 
edge,948.2878305660863,54.796082171301265,0.0,5.969026041820607,342.0,17.73238468069953 
